令和７年度　西山公園来訪者割合（市区町村）,,,,,,
開始日,終了日,休日・平日,順位,市区町村,エリア名,来訪者割合
20250401,20260331,休日,1,福井県鯖江市,西山公園,52%
20250401,20260331,休日,2,福井県越前市,西山公園,19%
20250401,20260331,休日,3,福井県福井市,西山公園,18%
20250401,20260331,休日,4,福井県丹生郡越前町,西山公園,5%
20250401,20260331,休日,5,福井県坂井市,西山公園,4%
20250401,20260331,休日,6,福井県南条郡南越前町,西山公園,1%
20250401,20260331,休日,7,福井県吉田郡永平寺町,西山公園,1%
20250401,20260331,休日,8,福井県今立郡池田町,西山公園,0%
,,,,,,
20250401,20260331,平日,1,福井県鯖江市,西山公園,62%
20250401,20260331,平日,2,福井県越前市,西山公園,17%
20250401,20260331,平日,3,福井県福井市,西山公園,14%
20250401,20260331,平日,4,福井県丹生郡越前町,西山公園,5%
20250401,20260331,平日,5,福井県坂井市,西山公園,1%
20250401,20260331,平日,6,福井県南条郡南越前町,西山公園,1%
20250401,20260331,平日,7,福井県今立郡池田町,西山公園,0%
20250401,20260331,平日,8,福井県吉田郡永平寺町,西山公園,0%
