路線番号,路線名,バス停名称,バス停名称(英語),説明(日本語),説明(英語),緯度,経度
1,循環線,公立丹南病院（2番のりば）,"","","",35.969696,136.178467
1,循環線,神明公民館（西）,"","","",35.970837,136.178604
1,循環線,ふくしん神明支店前（北）,"","","",35.972881,136.179428
1,循環線,神明駅,"","","",35.972846,136.181591
1,循環線,神明苑,"","","",35.972328,136.182953
1,循環線,アル・プラザ鯖江,"","","",35.968698,136.18919
1,循環線,神中町2丁目（南）,"","","",35.971121,136.187852
1,循環線,水落橋北（東）,"","","",35.966247,136.187596
1,循環線,アイアイ鯖江（文化の館）（東）,"","","",35.961582,136.187347
1,循環線,長泉寺（東）,"","","",35.953426,136.187912
1,循環線,リハビリテーション病院前,"","","",35.95026,136.187332
1,循環線,本町4丁目（東）,"","","",35.949444,136.185684
1,循環線,本山前（東）,"","","",35.946957,136.185425
1,循環線,JR鯖江駅（1番のりば）,"","","",35.943302,136.188187
1,循環線,本町1丁目（西）,"","","",35.944504,136.18512
1,循環線,本町2丁目（西）,"","","",35.945858,136.185226
1,循環線,市民ホールつつじ前（本山前）（南）,"","","",35.9464,136.184525
1,循環線,西鯖江駅前（南）,"","","",35.946846,136.182358
1,循環線,嚮陽会館（南）,"","","",35.947144,136.179614
1,循環線,有定町3丁目,"","","",35.948299,136.176921
1,循環線,道の駅西山公園（北）,"","","",35.948642,136.180653
1,循環線,西山公園（西）,"","","",35.949928,136.182587
1,循環線,パンダランド,"","","",35.951937,136.183352
1,循環線,市役所,"","","",35.956066,136.184708
1,循環線,鯖江郵便局（南）,"","","",35.95956,136.182968
1,循環線,水落町1丁目（西）,"","","",35.961048,136.177933
1,循環線,北野町1丁目（西）,"","","",35.964153,136.178497
1,循環線,北野町2丁目（西）,"","","",35.967903,136.178513
1,循環線,嚮陽会館（北）,"","","",35.947222,136.179743
1,循環線,西鯖江駅前（北）,"","","",35.946869,136.182724
1,循環線,市民ホールつつじ前（本山前）（北）,"","","",35.946476,136.184494
1,循環線,本町2丁目（東）,"","","",35.945774,136.185364
1,循環線,本町1丁目（東）,"","","",35.944408,136.185257
1,循環線,JR鯖江駅（2番のりば）,"","","",35.943451,136.187912
1,循環線,本山前（西）,"","","",35.94706,136.185318
1,循環線,本町4丁目（西）,"","","",35.949524,136.185623
1,循環線,長泉寺（西）,"","","",35.953445,136.18782
1,循環線,アイアイ鯖江（文化の館）（西）,"","","",35.961662,136.187271
1,循環線,水落橋北（西）,"","","",35.966259,136.187327
1,循環線,ふくしん神明支店前（南）,"","","",35.972775,136.179367
1,循環線,神明公民館（東）,"","","",35.970776,136.178726
1,循環線,公立丹南病院（1番のりば）,"","","",35.969646,136.178543
1,循環線,北野町2丁目（東）,"","","",35.967907,136.178635
1,循環線,北野町1丁目（東）,"","","",35.964153,136.178604
1,循環線,水落町1丁目（東）,"","","",35.961025,136.17804
1,循環線,鯖江郵便局（北）,"","","",35.959599,136.182571
1,循環線,西山公園（東）,"","","",35.950867,136.183197
1,循環線,道の駅西山公園（南）,"","","",35.948403,136.180505
2,幹線,神明駅,"","","",35.972846,136.181591
2,幹線,ふくしん神明支店前（三六町2丁目）（南）,"","","",35.972749,136.179442
2,幹線,三六連隊跡神明　神明公民館（東）,"","","",35.970768,136.178726
2,幹線,三六連隊跡神明　神明公民館（西）,"","","",35.970837,136.178589
2,幹線,糺町,"","","",35.977779,136.175659
2,幹線,杉本,"","","",35.978962,136.174591
2,幹線,近松の里たちまち　立待公民館,"","","",35.982731,136.172928
2,幹線,吉江七曲り通り前,"","","",35.987221,136.17038
