名称,名称(英語),カテゴリ,カテゴリ補足,ジャンル,ジャンル,ジャンル,ジャンル,季節,場所,郵便番号,都道府県名,市区町村名,行政区名,住所,住所(かな),緯度,経度,説明(日本語),説明(英語),電話番号,FAX番号,営業時間,開所時刻,閉所時刻,定休日,利用料金,画像URL,画像URL,画像URL,サムネイル画像URL,ホームページアドレス,創設日,創設者,所在地（基本、名称と同じもの）,名称(中国語簡体字),説明(中国語簡体字),名称(中国語繁体字),説明(中国語繁体字),名称(韓国語),説明(韓国語),名称(ポルトガル語),説明(ポルトガル語),標準地域コード
めがねミュージアム,"",観光,資料館・博物館,観る,遊ぶ,買う,"","","","","","","",鯖江市新横江2丁目3-4（ めがね会館）,"",35.942758,136.198844,"館内にはめがねショップ、めがね博物館、手づくりめがね工房や鯖江スイーツが楽しめるカフェやお土産コーナーがあります。
福井県内優良メーカーのオリジナルハウスブランドや有名人がデザインした「sabae」ブランドめがねなど、１５００種以上の最新デザインと技術をそろえためがねが並ぶショップ、めがね大使である俳優・大村崑氏の芸能人めがねコレクションの展示やめがねの歴史が学べる博物館、さらに、自分だけのオリジナルめがねが欲しい方のための「手づくりめがね工房」があり、世界にひとつだけのめがねが作れます。めがねの他にも、ミニめがね型ストラップやアクセサリーも作ることができます。","",0778-42-8311,"","めがねSHOP：10:00〜19:00
体験工房/めがね博物館/SabaeSweets : 10:00〜17:00
MUSEUM CAFE：10:00〜16:00",10:00:00,19:00:00,水曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/pavilion_001.jpg,https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_playing_004.jpg,"","",http://www.megane.gr.jp/museum/,"","",めがねミュージアム,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
石田縞手織りセンター,"",観光,資料館・博物館,観る,遊ぶ,"","","","","","","","",福井県鯖江市糺町32-1-1,"",35.972732,136.175826,鯖江市繊維会館内にある施設です。鯖江市は古くから繊維産業が盛んです。そのルーツである伝統織り「石田縞」が、時を越えて繊維のすばらしさと奥深さを伝えています。当センターでは、伝統ある石田縞の紹介や、昔ながらの手織り体験ができます。,"",0778-52-1880,"",10：00〜16：00,10:00:00,16:00:00,土曜日、日曜日、祝日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/pavilion_002.jpg,"","","",https://s-senkyo.com/,"","",石田縞手織りセンター,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
うるしの里会館,"",観光,資料館・博物館,観る,遊ぶ,買う,"","","","","","","",福井県鯖江市西袋町40-1-2,"",35.953033,136.2738,館内のミュージアムショップでは、産地ならではの品揃えで越前漆器が直販価格で販売されています。また、越前漆器の歴史が学べる資料が展示されているほか、隣接の職人工房では伝統工芸士による実演を見学できます。さらに、絵付け･沈金・拭き漆の３つの漆器体験で、自分だけのオリジナル作品を作ることができます。,"",0778-65-2727,"",9：00〜17：00,09:00:00,17:00:00,第4火曜日（祝日の場合は翌日）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/pavilion_003.jpg,https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_playing_002.jpg,https://www.city.sabae.fukui.jp/xml/sabakan/simage/t_shopping_101.jpg,"",http://www.echizen.or.jp/,"","",うるしの里会館,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
まなべの館,"",観光,資料館・博物館,観る,"","","","","","","","","",鯖江市長泉寺町1丁目9-20,"",35.9535,136.184339,鯖江市の歴史が学べる博物館です。鯖江の歴代藩主の書画や遺品を紹介する「まなべの部屋」をはじめ、市内遺跡からの出土品や貴重な考古資料を紹介する「考古学の部屋」、近松門左衛門の関連資料が並ぶ「近松の部屋」、鯖江市出身のアニメーション作家・久里洋二氏の作人が並ぶ「久里洋二の部屋」、鯖江市出身の芸術家・故西山真一氏の作品を紹介する「西山真一の部屋」が常設され、学びの施設として親しまれています。また、企画展や市民によるギャラリー展なども随時開催されます。,"",0778-51-5999,"",9：00〜17：00（入館は16：30まで）,09:00:00,17:00:00,月曜日（祝日の場合は翌日）、祝日、年末年始,"個人：大人100円　小人（小・中学生）50円

団体：大人 50円　小人（小・中学生）30円　※20人以上で団体となります。",https://www.city.sabae.fukui.jp/xml/sabakan/simage/pavilion_004.jpg,"","","",https://www.city.sabae.fukui.jp/kosodate_kyoiku/manabenoyakata/manabenoyakata.html,"","",まなべの館,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
久里洋二の世界　GALLERY Ｋ,"",観光,資料館・博物館,観る,"","","","","","","","","",鯖江市糺町16-18,"",35.977267,136.167572,日本を代表するイラストレーターであり、まなべの館名誉館長でもある 鯖江市出身の久里洋二氏。彼の作品に出会える夢のギャラリーです 。ふしぎにあたたかい久里洋二氏の楽しい世界を体感できます。お気軽にお立ち寄りください。作品を購入することもできます。,"",0778-52-7470,"",13：00〜18：00,13:00:00,18:00:00,月曜日、火曜日、第3日曜日,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/pavilion_005.jpg,"","","",https://www.yojikuri.jp/,"","",久里洋二の世界　GALLERY Ｋ,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
鯖江まちなか,"",観光,まちなみ,観る,"","","","","","","","","",鯖江市本町1〜4丁目一帯,"",35.946356,136.185384,ハピライン鯖江駅周辺の昔ながらの街並みが残るエリアを「さばえまちなか」と呼んでいます。鯖江藩主・間部（まなべ）家の門前町として栄えたこのエリアには、花街の面影残る石畳の小路や、旧北陸道沿いのお寺、由緒ある和洋菓子店など、ぶらり立ち寄りたいスポットがいっぱいあります。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/town_001.jpg,"","","","","","",鯖江まちなか,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
近松の里,"",観光,まちなみ,観る,"","","","","","","","","",鯖江市吉江町一帯,"",35.988434,136.174379,元禄三代文豪に数えられる近松門左衛門。その作品は、後世の文学作品にも多くの影響を及ぼし、日本のシェークスピアといわれています。その近松が多感な幼年期を過ごしたのが吉江町です。この地は正保二年(1645年)から29年間、松平昌親を藩主とする吉江藩がありました。現在の立待地区には当時の風情を残す七曲りや春慶寺、福正寺、西光寺、近松門左衛門の文学碑などがあります。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/town_002.jpg,"","","","","","",近松の里,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
うるしの里,"",観光,まちなみ,観る,"","","","","","","","","",鯖江市河和田地区一帯,"",35.951634,136.272686,鯖江市東部にある「うるしの里」は、伝統ある越前漆器の産地。業務用漆器の国内シェア80%以上を占めるています。中心にある「うるしの里会館」は、越前漆器の情報発信や販売、職人工房、漆器の絵付け体験などができます。産地の中でも河和田町の「中道通り」は、漆器の工房や職人の家屋が古くから多く集積しており、漆の香り漂うレトロなまち並みが続く情緒ある通り。ぜひ歩いてほしい。また、ものづくりの現場を気軽に見ることができる「軒下工房」は「もの作りの現場を、軒下から気軽に見るような感覚で見ていただきたい」という思いで工房を広,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/town_003.jpg,"","","","","","",うるしの里,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
誠照寺,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市本町3丁目2-38,"",35.946979,136.184354,親鸞聖人ゆかりの寺で、真宗誠照寺派本山で越前四箇本山の一つ。御影堂は木造建物では県内最大規模を誇る。山門は四足門で「鳥棲まずの門」とも言われ、左甚五郎作と伝えられる彫刻「駆け出しの竜」は特に有名です。また、境内では毎月第２日曜日（1･2月は除く）に「誠市」が開催され、多くの人で賑わいます。,"",0778-54-0001,"",9:00〜16:00,09:00:00,16:00:00,"","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_001.jpg,"","","",https://www.jyosyoji.org/,"","",誠照寺,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
車の道場（上野別堂）,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市日の出町7-1,"",35.939427,136.185663,正式には「上野別堂」といい、親鸞上人が当地ではじめて教えを説いた念仏道場。上人が乗られた輿（こし）に車がついていたことから、この名がついたといわれています。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_002.jpg,"","","","","","",車の道場,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
