施設名,施設名(英語),都道府県名,市区町村名,行政区名,住所,住所(かな),電話番号,緯度,経度,利用可能時間OPENS,利用可能時間CLOSES,説明(日本語),説明(英語),調査年月日,男性トイレ数,女性トイレ数,男女共用トイレ数,バリアフリートイレ数,オストメイト,多目的シート（ユニバーサルシート）,ベビーチェア,ベビーベット,固定手すり,可動手すり,幼児用便器,自動扉,出入口の表示,非常用呼出ボタン,車椅子対応エレベーター,車椅子対応エスカレーター,授乳スペース,おむつ交換台,AED,画像URL,画像URL,画像URL,画像URL,標準地域コード
西山公園(中央広場),Nishiyama Park (Central Square）,"","","","","","",35.949591,136.182136,"","","","","",6,5,"",1,"","","",1,"","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
西山公園(八角(お祭り広場北)),Nishiyama Park (Octagonal (Festival Square North)),"","","","","","",35.950859,136.182765,"","","","","",12,8,"",1,"","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
西山公園(冒険の森),Nishiyama Park (Forest Adventure),"","","","","","",35.951945,136.183205,"","","","","",4,3,"",1,"","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
西山公園(西山動物園),Nishiyama Park (Nishiyama Zoo）,"","","","","","",35.950538,136.180952,"","","","","",4,2,"",1,"","","",1,"","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
西山公園(嚮陽庭園(中段)),Nishiyama Park (Garden kyoyo (middle)),"","","","","","",35.950998,136.184696,"","","","","",4,2,"",1,"","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
西山公園(嚮陽庭園(北の庭)),Nishiyama Park (Garden kyoyo (North Garden)),"","","","","","",35.951988,136.184546,"","","","","",4,3,"",1,"","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
西山公園(嚮陽庭園(松堂亭)),Nishiyama Park (Garden kyoyo (Shoto bower)),"","","","","","",35.950752,136.184111,"","","","","",1,1,"",1,"","","",1,"","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
大谷公園,Otani Park,"","","","","","",35.992305,136.176606,"","","","","",1,1,"","","","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
東公園,Higasi Park,"","","","","","",35.943774,136.198962,"","","","","",5,4,"",1,"","","",1,"","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
神中公園,Kaminaka Park,"","","","","","",35.975519,136.188337,"","","","","",3,2,"","","","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
日野川緑地,Hino River green,"","","","","","",35.947867,136.173301,"","","","","",1,2,"",1,"","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
南公園,South Park,"","","","","","",35.943976,136.176689,"","","","","",5,4,"",1,"","","",1,"","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
忠霊塔,Cyureito Park,"","","","","","",35.959275,136.181082,"","","","","",6,6,"",1,"","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
西公園,Nishi Park,"","","","","","",35.971373,136.165504,"","","","","",5,3,"",2,"","","",1,"","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
丸山公園（北）,Maruyama Park (North),"","","","","","",35.984685,136.180015,"","","","","",4,2,"","","","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
丸山公園（南）,Maruyama Park (South),"","","","","","",35.982612,136.179105,"","","","","",6,2,"","","","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
三六公園,Saburoku Park,"","","","","","",35.970702,136.180221,"","",防犯ベル有り,Crime prevention buzzer,"",4,2,"",1,"","","",1,"","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
